Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2005,0.21,0.05,0,0.01,0.27,67,12,7.5,24,7,4,127,138,2,Virtua Fighter 5 Online
2006,0.25,0,0,0.02,0.27,79,49,5.3,167,28,10,139,442,2,Indiana Jones and the Staff of Kings
2004,0.01,0.22,0,0.04,0.27,81,39,5,346,13,11,53,545,1,Angry Birds Star Wars
2002,0.21,0.05,0,0.01,0.27,69,12,8.7,15,7,4,139,810,1,F-1 Grand Prix
2002,0.19,0.07,0,0,0.27,73,10,7.5,6,6,2,490,976,1,SimCity 2000
2002,0,0,0.26,0.01,0.27,71,22,7.5,24,6,7,277,1558,8,Deer Hunter
2000,0,0,0.27,0,0.27,71,22,7.5,24,5,7,241,1558,8,Puyo Puyo! 15th Anniversary
2004,0.13,0.1,0,0.03,0.27,67,21,8.4,20,16,7,466,1154,7,Pokemon Box: Ruby & Sapphire
2005,0.2,0.06,0,0.01,0.27,79,25,5.9,7,29,6,139,442,1,Yu-Gi-Oh! Monster Capsule Breed & Battle
2004,0.13,0.1,0,0.03,0.27,70,26,8.5,21,16,8,490,1457,5,Dave Mirra Freestyle BMX 2
2015,0.16,0.09,0,0.02,0.27,60,26,4.3,77,30,0,139,446,1,One Piece: Unlimited World Red
2008,0.15,0.1,0,0.02,0.27,76,63,6.8,43,28,8,447,200,5,Wappy Dog
2001,0.2,0.06,0,0.01,0.27,89,17,8.8,5,29,10,139,442,1,Warpath: Jurassic Park
2014,0.13,0.12,0,0.02,0.27,69,20,6.8,36,30,0,550,1418,2,Tak and the Guardians of Gross
2013,0.15,0.08,0.01,0.02,0.27,69,21,6.6,222,28,7,466,1351,7,True Crime: New York City
2006,0.2,0.04,0,0.03,0.27,78,23,7.5,24,19,10,139,1439,1,Summer Heat Beach Volleyball
1998,0,0,0.27,0,0.27,71,22,7.5,24,10,10,277,1558,8,NCAA Basketball 09
1998,0.25,0.02,0,0,0.27,71,22,7.5,24,10,10,17,1558,8,Avatar: The Last Airbender
1999,0.18,0.08,0,0.01,0.27,71,22,7.5,24,10,0,17,1558,8,Power Pro Kun Pocket 3
1999,0.22,0.05,0,0,0.27,71,22,7.5,24,10,11,361,1558,8,Castlevania: Aria of Sorrow
1997,0.25,0.02,0,0,0.27,71,22,7.5,24,10,10,277,1558,8,Myst III: Exile
2005,0.13,0.1,0,0.03,0.27,75,52,8.3,62,16,0,85,264,5,Shin Megami Tensei: Strange Journey
2012,0.07,0.07,0.12,0.01,0.27,71,22,7.5,24,2,3,447,1558,8,Mobile Suit Gundam Side Story I: Senritsu no Blue
2008,0,0.07,0.19,0.01,0.27,71,22,7.5,24,26,1,349,1558,8,Armored Core: Project Phantasma
2012,0,0,0.27,0,0.27,71,22,7.5,24,2,0,361,1558,8,Army of Two: The Devil's Cartel
2011,0.25,0,0,0.02,0.27,62,16,3.7,15,17,6,21,496,1,Donkey Kong GB: Dinky Kong & Dixie Kong
2007,0.13,0.1,0,0.03,0.27,61,17,8,28,16,0,139,432,2,Kobitodzukan: Kobito Kansatsu Set
2010,0.14,0.1,0,0.02,0.27,41,15,6.5,8,26,0,21,998,7,Nichibutsu Arcade Classics
2007,0.13,0.1,0,0.03,0.27,71,8,6.4,8,16,6,490,1080,7,FIFA Soccer 07
2010,0.15,0.09,0,0.02,0.27,71,22,7.5,24,4,3,139,1558,8,Patapon 3
2010,0.23,0.02,0,0.02,0.27,62,12,5.8,4,26,10,496,1592,2,Ice Age: Dawn of the Dinosaurs
2005,0.2,0.06,0,0.01,0.27,62,46,6.6,8,29,0,21,31,7,Ace Attorney 6
2001,0.19,0.07,0,0,0.27,71,11,7.5,24,6,10,21,666,1,Cabela's Trophy Bucks
2010,0.18,0.05,0,0.03,0.27,71,22,8.5,4,17,10,21,509,1,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2
2011,0.25,0,0,0.02,0.27,71,22,7.5,24,28,3,21,476,2,Q-Ball: Billiards Master
2000,0.06,0.05,0.14,0.02,0.27,77,16,6,5,16,6,349,967,1,Mr. Do!
2012,0.14,0.11,0,0.02,0.27,71,22,7.5,24,27,7,139,1558,8,Tao Feng: Fist of the Lotus
2013,0.16,0.09,0,0.02,0.27,68,7,6.8,38,2,0,550,99,7,Guitar Hero: Van Halen
1995,0,0,0.27,0,0.27,71,22,7.5,24,23,10,277,1558,8,Shin Nippon Pro Wrestling: Toukon Retsuden 2
2011,0.11,0.09,0.04,0.03,0.27,77,56,8.1,124,17,0,139,614,5,Dragon Ball Z: Budokai 2
2010,0.04,0.19,0,0.04,0.27,76,33,8.1,176,13,11,527,493,7,The Legend of Zelda: The Minish Cap(weekly JP sales)
2007,0.25,0,0,0.02,0.27,71,22,7.5,24,4,5,490,1558,8,Over the Hedge
2016,0.1,0.12,0,0.04,0.27,71,22,5.5,8,17,0,550,1418,2,Motocross Maniacs Advance
1994,0,0,0.27,0,0.27,71,22,7.5,24,23,9,221,1558,8,Resident Evil 2: Dual Shock Edition
2001,0,0,0.26,0.01,0.27,71,22,7.5,24,6,7,361,1558,8,Dynasty Warriors
2003,0.21,0.05,0,0.01,0.27,84,17,9,4,7,10,139,442,1,M&M's Blast!
2001,0.13,0.1,0,0.03,0.27,71,22,7.5,24,16,6,17,1558,8,Siren: Blood Curse
2002,0.2,0.06,0,0.01,0.27,84,13,7.5,24,29,6,139,442,1,NBA 2K12
1999,0.15,0.1,0,0.02,0.27,71,22,7.5,24,15,6,139,1558,8,Final Fantasy X International
2007,0,0.22,0.05,0,0.27,71,22,7.5,24,26,10,361,1558,8,Tiny Toon Adventures: Plucky's Big Adventure
2010,0.16,0.08,0,0.02,0.27,71,22,7.5,24,26,4,110,1558,8,NHL Hitz 20-02
2009,0.25,0,0,0.02,0.27,71,22,7.5,24,28,7,466,1351,7,Indy 500
2010,0,0,0.27,0,0.27,71,22,7.5,24,4,11,361,1558,8,GRID 2
2005,0.19,0.07,0,0,0.27,71,22,7.5,24,6,3,567,1558,8,Trivial Pursuit
2006,0.24,0,0,0.02,0.27,68,13,7.5,24,19,10,139,446,1,Evil Dead: Hail to the King
2012,0,0.07,0.18,0.03,0.27,71,22,7.5,24,19,10,277,804,1,Need for Speed: The Run
1999,0.15,0.1,0,0.02,0.27,71,22,7.5,24,15,7,21,1558,8,Dragon Ball GT: Final Bout
2002,0.13,0.1,0,0.03,0.27,56,16,7,4,16,8,60,813,5,Burstrick: Wake Boarding!!
2010,0.08,0.11,0,0.08,0.27,71,22,7.5,24,16,0,550,1558,8,Need for Speed: Most Wanted
2010,0.14,0.09,0,0.03,0.27,65,4,7.5,24,4,0,277,73,1,Dave Mirra Freestyle BMX: Maximum Remix
1998,0,0,0.25,0.02,0.27,71,22,7.5,24,15,10,277,1558,8,The Evil Within
2006,0.21,0.05,0,0.01,0.27,66,15,7.3,8,7,9,139,898,7,Mass Effect Trilogy
2009,0.25,0,0,0.02,0.27,71,22,7.5,24,4,9,139,469,1,Rock Revolution
2014,0.15,0.09,0,0.02,0.27,69,16,7.6,32,2,0,531,711,1,Dead Rising 2: Off the Record
2010,0.25,0,0,0.02,0.27,71,22,7.5,24,26,5,473,627,1,WWII Aces
2011,0.1,0.13,0,0.04,0.27,78,46,7.7,359,13,11,267,631,7,Guitar Hero Live
2007,0.18,0.08,0,0,0.27,79,23,8.4,21,28,10,496,219,1,Beamrider
2003,0,0,0.27,0,0.27,71,22,7.5,24,16,6,447,1558,8,Athens 2004
2003,0.13,0.1,0,0.03,0.27,75,13,8.9,21,16,9,277,226,7,Gunship
1995,0.15,0.1,0,0.02,0.27,71,22,7.5,24,15,8,178,1558,8,Jikkyou Powerful Pro Yakyuu Portable 4
2000,0.15,0.1,0,0.02,0.27,71,10,7.5,24,15,10,457,36,1,SD Gundam G Generation Portable
2011,0.25,0,0,0.02,0.27,71,22,7.5,24,26,3,527,1524,1,Pro Race Driver
2002,0.2,0.06,0,0.01,0.27,78,20,7.9,7,29,10,139,469,7,Sydney 2000
2011,0.25,0,0,0.02,0.27,71,22,7.5,24,4,3,185,579,1,Hot Wheels: Track Attack
2009,0.25,0,0,0.02,0.27,71,22,5.6,5,28,10,23,47,7,Baten Kaitos: Eternal Wings and the Lost Ocean
1996,0.06,0.04,0.14,0.02,0.27,71,22,7.5,24,15,2,457,1558,8,Bishoujo Senshi Sailormoon R
1998,0.15,0.1,0,0.02,0.27,71,22,7.5,24,15,7,101,1558,8,Slam Dunk: Yonkyo Taiketsu!!
1995,0,0,0.27,0,0.27,71,22,7.5,24,23,5,63,1558,8,Iron Man 2
2005,0.13,0.1,0,0.03,0.27,52,14,8.3,21,16,2,349,465,7,Disgaea 3: Absence of Detention
2008,0.25,0,0,0.02,0.27,71,22,7.5,24,4,3,369,1468,1,Rocky: Legends
2010,0.12,0.11,0,0.02,0.27,78,45,7,38,28,11,527,493,7,NickToons: Racing
2004,0.13,0.1,0,0.03,0.27,66,20,8.3,6,16,11,53,656,1,iCarly 2: iJoin The Click!
2010,0.24,0,0,0.02,0.27,71,22,7.5,24,17,7,463,1558,8,The Warriors
2007,0.25,0,0,0.02,0.27,71,10,7.5,24,4,5,340,863,1,EyePet
2007,0.23,0.02,0,0.02,0.27,56,14,7.5,24,28,0,490,647,1,Flag Capture
2011,0.14,0.1,0,0.03,0.27,41,8,7.4,7,28,10,527,1547,1,Bridge
2007,0.13,0.1,0,0.03,0.27,71,22,7,6,16,1,527,1637,1,G-Force
2008,0.24,0,0,0.02,0.27,71,22,7.5,24,4,5,298,1558,8,Remington Super Slam Hunting: Africa
2008,0.24,0,0,0.02,0.27,71,22,7.2,5,26,3,294,637,7,RalliSport Challenge 2
2007,0.24,0,0,0.02,0.27,58,11,7.5,24,4,3,139,435,2,Pac-Pix
2010,0,0,0.27,0,0.27,71,22,7.5,24,17,10,277,1558,8,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu
2003,0.19,0.07,0,0,0.27,71,22,7.5,24,6,0,298,880,7,F1 Race Stars
2006,0.24,0,0.01,0.02,0.27,63,24,6.3,10,17,10,457,1234,1,Sing Party
2011,0.14,0.1,0,0.03,0.27,47,62,5.7,109,28,8,527,1444,5,Over the Hedge
2008,0.24,0,0,0.02,0.27,59,4,6.7,6,4,3,527,1552,1,Wave Rally
2009,0.25,0,0,0.02,0.27,71,22,7.5,24,26,5,490,1406,1,Sherlock Holmes: Crimes & Punishments
2005,0.24,0.01,0,0.02,0.27,45,4,6.1,22,4,6,139,424,1,Sengoku Basara 4
2006,0.13,0.1,0,0.03,0.27,71,22,7.5,24,16,0,527,1558,8,Disney's Chicken Little
2009,0.15,0.09,0,0.02,0.27,69,49,7.3,59,28,8,462,1476,7,NHL 07
2008,0.23,0.03,0,0,0.27,71,22,7.5,24,26,10,113,1558,8,RollerCoaster Tycoon 3
2004,0.19,0.07,0,0,0.27,71,22,7.5,24,6,3,531,1558,8,Ty the Tasmanian Tiger
2003,0.2,0.06,0,0.01,0.27,87,18,8.2,25,29,10,447,1592,1,WWE Road to WrestleMania X8
1997,0,0,0.25,0.02,0.27,71,22,7.5,24,15,10,502,1558,8,Yu-Gi-Oh! The Sacred Cards (JP weekly sales)
2010,0.25,0,0,0.02,0.26,71,22,7.5,24,4,3,550,1558,8,Medarot 3: Kabuto / Kuwagata Version
2002,0.11,0.09,0.03,0.03,0.26,46,14,8.4,11,16,3,384,1068,7,Fullmetal Alchemist 2: Curse of the Crimson Elixir
2012,0.12,0.1,0,0.04,0.26,40,9,6.4,31,17,0,21,647,5,NASCAR 06: Total Team Control
2007,0.24,0,0,0.02,0.26,75,22,6.8,52,28,10,496,1592,2,BloodRayne 2
2002,0.19,0.07,0,0,0.26,71,22,7.5,24,6,7,53,1558,8,Rory McIlroy PGA Tour
2007,0.24,0,0,0.02,0.26,46,9,7,6,4,9,298,821,1,The Club
2010,0.24,0,0,0.02,0.26,89,27,8.2,160,28,11,409,1119,2,NHL 2002
2010,0.19,0.06,0,0.02,0.26,71,22,7.5,24,4,1,490,1558,8,LEGO The Hobbit
2013,0,0,0.26,0,0.26,71,22,7.5,24,17,0,349,1558,8,Lightning Returns: Final Fantasy XIII
1998,0,0,0.26,0,0.26,71,22,7.5,24,3,8,447,1558,8,Tiger Woods PGA Tour 07
2016,0.07,0.16,0,0.04,0.26,73,28,8.5,79,18,0,550,1217,7,Jikkyou Powerful Pro Yakyuu 5
2010,0,0,0.26,0,0.26,71,22,7.5,24,17,9,349,1558,8,NBA Jam 99
2001,0.13,0.1,0,0.03,0.26,53,16,7.3,11,16,0,496,675,5,Shadow Man
2008,0.22,0.02,0,0.02,0.26,55,42,6.4,24,28,0,447,457,7,Command & Conquer
2002,0.16,0.05,0.04,0.01,0.26,90,41,8.5,64,29,8,447,1319,7,NBA In The Zone '98
1999,0,0,0.25,0.02,0.26,71,22,7.5,24,15,10,277,1558,8,Shadow of Rome
2013,0,0,0.26,0,0.26,71,22,7.5,24,2,0,349,1558,8,Rhythm Thief & the Emperor's Treasure
1996,0.08,0.06,0.11,0.02,0.26,71,22,7.5,24,15,7,166,1558,8,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves
2010,0.25,0,0,0.02,0.26,87,4,5.6,9,4,9,361,711,1,Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training
1996,0.15,0.1,0,0.02,0.26,71,22,7.5,24,15,10,457,1558,8,NASCAR 2011: The Game
2010,0.09,0.14,0,0.03,0.26,71,22,7.5,24,4,11,527,1524,2,Harry Potter and the Order of the Phoenix
2007,0.13,0.1,0,0.03,0.26,71,22,7.5,24,16,9,527,1524,1,Transformers: Cybertron Adventures
2008,0.13,0.1,0,0.03,0.26,71,22,8.3,11,16,8,23,509,2,Stuntman: Ignition
2008,0.09,0.01,0.15,0.01,0.26,76,24,7.4,37,4,7,277,804,2,Monopoly
2006,0.23,0.01,0,0.02,0.26,51,48,6.2,49,28,0,139,446,7,Gun
2009,0.13,0,0.12,0.01,0.26,84,28,8.8,79,4,7,55,127,7,NHL 2K11
2013,0.15,0.09,0,0.02,0.26,71,22,2.8,5,26,11,21,503,1,Fantastic 4
1997,0.15,0.1,0,0.02,0.26,71,22,7.5,24,15,4,457,1558,8,Mat Hoffman's Pro BMX
2009,0,0,0.26,0,0.26,71,22,7.5,24,4,9,277,1558,8,Rapala Pro Bass Fishing 2010
2005,0,0.01,0.25,0,0.26,71,22,7.5,24,19,7,527,1558,8,Wipeout 2
2007,0,0,0.26,0,0.26,71,22,7.5,24,4,7,349,1558,8,MotoGP
2015,0.09,0.13,0,0.04,0.26,81,70,8.1,188,18,4,457,899,1,Mass Effect 3
2006,0.13,0.1,0,0.03,0.26,56,11,7.5,10,16,10,327,223,2,Batman: Arkham Origins Blackgate
2008,0.09,0,0.16,0.01,0.26,82,17,8.9,24,4,7,55,127,2,Jikkyou Powerful Pro Yakyuu 2
1994,0,0,0.26,0,0.26,71,22,7.5,24,8,6,447,1558,8,Shadows of the Damned
2002,0.19,0.07,0,0,0.26,71,22,7.5,24,6,0,490,1558,8,R.U.S.E.
2008,0.22,0.02,0,0.02,0.26,55,26,6.8,20,17,0,447,457,7,Ratatouille: Food Frenzy
2010,0.18,0.06,0,0.02,0.26,68,39,8.2,332,28,0,432,41,5,LEGO Marvel's Avengers
2009,0.24,0,0,0.02,0.26,71,22,7.5,24,4,3,527,856,1,Rock Revolution
2007,0,0,0.26,0,0.26,71,22,7.5,24,4,3,361,1558,8,Thoroughbred Breeder II
2008,0.09,0.02,0,0.16,0.26,71,22,7.5,24,16,1,127,138,2,Magical Vacation
2010,0.21,0.04,0,0.02,0.26,49,6,7.5,24,26,0,490,1406,2,NBA Live 2004
2013,0,0,0.26,0,0.26,71,22,7.5,24,2,10,283,1558,8,XGIII: Extreme G Racing
2004,0.13,0.1,0,0.03,0.26,50,7,6.6,8,16,6,496,1169,1,NASCAR Thunder 2003
2015,0.08,0.14,0,0.04,0.26,71,22,7.5,24,18,2,349,1558,8,Superbike 2000
2011,0.06,0.15,0,0.05,0.26,59,27,5.7,13,17,0,527,1531,2,Punch-Out!!
2015,0,0.25,0,0.01,0.26,71,22,7.5,24,13,8,21,1558,8,Despicable Me: The Game
2007,0.1,0.08,0.05,0.03,0.26,71,22,8.4,8,16,7,447,1328,7,Final Fantasy XI: Ultimate Collection
2013,0,0,0.26,0,0.26,71,22,7.5,24,17,10,277,1558,8,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu
2010,0.24,0,0,0.02,0.26,53,4,7.5,24,26,10,496,1592,1,Connect Four / Perfection / Trouble
2002,0.19,0.07,0,0,0.26,55,5,7.5,24,6,0,490,676,1,NFL Street 3
2010,0.11,0.03,0.09,0.03,0.26,63,22,8.6,20,19,2,349,1343,7,Pro Evolution Soccer 2013
2013,0.1,0.01,0.14,0.01,0.26,80,41,8.2,89,2,7,55,127,7,Alundra 2: A New Legend Begins
2006,0,0,0.26,0,0.26,71,22,7.5,24,16,0,85,1558,8,Reign of Fire
2002,0.19,0.07,0,0,0.26,71,22,7.5,24,6,4,490,1558,8,Scooby-Doo! and the Spooky Swamp
2006,0,0,0.26,0.01,0.26,83,25,7.2,75,6,7,361,1415,1,Beyblade: Metal Masters
2005,0.19,0.07,0,0,0.26,71,22,8.3,14,6,6,139,424,1,Jikkyou Powerful Pro Yakyuu '98 Ketteiban
2000,0.15,0.1,0,0.02,0.26,76,12,7.5,24,15,9,21,1613,1,The Sims 2: Pets
2002,0.2,0.05,0,0.01,0.26,67,20,7.6,16,7,8,290,850,7,Littlest Pet Shop: Beach Friends
2002,0.13,0.1,0,0.03,0.26,71,22,7.5,24,16,2,527,1558,8,Ultimate NES Remix
2011,0,0,0.26,0,0.26,71,22,7.5,24,4,1,85,1558,8,I Spy: Spooky Mansion
2011,0.04,0.04,0.16,0.02,0.26,64,11,7.8,9,17,0,502,1042,7,Tropico 4
2007,0.23,0.01,0,0.02,0.26,71,22,5,6,26,9,490,211,1,The BIGS
2009,0,0.24,0,0.02,0.26,71,22,7.5,24,4,5,550,1558,8,Initial D: Special Stage
2006,0.26,0,0,0,0.26,70,11,6.6,11,19,2,349,154,7,Jurassic Park: Operation Genesis
2012,0.18,0.05,0,0.02,0.26,63,13,3.5,27,28,0,21,1220,1,Final Doom
2011,0,0,0.26,0,0.26,71,22,7.5,24,17,10,277,1558,8,NBA ShootOut 2001
2009,0.24,0,0,0.02,0.26,61,5,4.5,10,26,10,496,16,1,Just Dance Kids 2
2006,0.14,0.05,0.07,0.01,0.26,71,22,7.5,24,6,3,277,1558,8,Knockout Kings 2002
2016,0.12,0.12,0,0.02,0.26,68,12,5.5,27,30,10,496,1637,7,Pinkalicious
2003,0,0,0.25,0.01,0.26,71,22,7.5,24,6,10,277,1558,8,Cabela's Big Game Hunter 2010
2007,0.21,0.02,0,0.02,0.26,73,55,7.1,40,28,11,138,461,7,Battle Arena Toshinden 3
2004,0,0,0.25,0.01,0.26,71,22,7.5,24,6,1,63,1558,8,Jade Cocoon: Story of the Tamamayu
2002,0.13,0.1,0,0.03,0.26,59,14,9,17,16,6,60,1343,1,Super Nazo Puyo: Ruruu no Ruu
2015,0.11,0.13,0,0.02,0.26,81,16,5.8,135,30,6,452,1313,1,InuYasha: Feudal Combat
2009,0.24,0,0,0.02,0.26,78,12,6.9,7,19,10,457,1235,1,Reader Rabbit Kindergarten
1999,0.04,0.03,0.18,0.02,0.26,66,8,8.9,35,15,3,145,914,1,R.U.S.E.
2011,0,0.01,0.25,0,0.26,59,16,7.9,10,26,7,361,832,8,Duel Masters
2014,0.06,0.14,0.02,0.04,0.26,71,22,7.5,24,17,0,21,1558,8,Dragon Age Origins: Awakening
2009,0,0,0.26,0,0.26,71,22,7.5,24,19,3,447,1558,8,Super Collapse! 3
2008,0,0,0.26,0,0.26,71,22,7.5,24,19,2,349,1558,8,Ratatouille
2009,0,0,0.26,0,0.26,71,22,7.5,24,19,0,85,1558,8,MotionSports: Adrenaline
1999,0.21,0.05,0,0,0.26,71,22,7.5,24,10,8,17,1558,8,The Dog Island
1996,0.21,0.05,0,0,0.26,71,22,7.5,24,10,0,21,1558,8,Cake Mania 2: Jill's Next Adventure!
2000,0.21,0.05,0,0,0.26,71,22,7.5,24,10,9,290,1558,8,AC/DC LIVE: Rock Band Track Pack
1999,0.21,0.05,0,0,0.26,71,22,7.5,24,10,8,178,1558,8,Boogie
2007,0.13,0.1,0,0.03,0.26,71,22,5,8,16,10,139,424,1,Jikkyou Powerful Pro Yakyuu 2010
2004,0.06,0.05,0.14,0.02,0.26,73,19,8.7,7,16,9,243,543,7,Operation Armored Liberty
2009,0.24,0,0,0.02,0.26,71,22,7.5,24,26,3,496,1425,1,NBA 07
2002,0.13,0.1,0,0.03,0.26,44,14,6.7,9,16,10,277,804,7,Call of Juarez: The Cartel
2002,0.19,0.07,0,0,0.26,71,22,7.5,24,6,1,357,286,1,My Japanese Coach
2014,0,0,0.26,0,0.26,71,22,7.5,24,17,0,447,1558,8,Are You Smarter than a 5th Grader? Game Time
2008,0.24,0,0,0.02,0.26,71,22,7.5,24,4,9,298,1670,1,Need for Speed: Most Wanted
2009,0.16,0.07,0,0.02,0.26,49,5,7.5,24,26,3,277,107,7,And1 Streetball
2003,0.19,0.06,0,0.01,0.26,77,33,8.4,7,29,10,488,686,5,Section 8
2001,0.2,0.05,0,0.01,0.26,70,17,5.8,16,7,1,527,1532,7,Summer Athletics: The Ultimate Challenge (US sales)
1981,0.24,0.01,0,0,0.26,71,22,7.5,24,0,10,53,1558,8,Sonic X: Game Boy Advance Video Volume 1
2009,0.12,0.01,0,0.13,0.26,71,22,7.5,24,16,10,139,446,1,ESPN NBA Basketball
2008,0.24,0,0,0.02,0.26,71,22,7.5,24,26,10,527,386,1,Gallop Racer 2: One and Only Road to Victory
2007,0,0,0.26,0,0.26,71,22,7.5,24,4,11,349,1558,8,Sesame Street: Cookie's Counting Carnival
2003,0.19,0.06,0,0.01,0.26,71,22,7.5,24,29,7,53,1558,8,Lowrider
2009,0.24,0,0,0.02,0.26,71,22,7.5,24,26,9,527,836,1,Family Guy: Back to the Multiverse
2000,0.14,0.1,0,0.02,0.26,71,22,7.5,24,15,6,17,1558,8,All-Pro Football 2K8
2008,0.2,0.04,0,0.02,0.26,67,44,7.9,34,17,0,21,1501,7,Dungeons & Dragons: Eye of the Beholder
2001,0.13,0.1,0,0.03,0.26,67,21,8.4,43,16,7,138,1128,7,Fish Tycoon
2003,0.2,0.05,0,0.01,0.26,66,10,7.4,8,7,6,546,1577,1,Plants vs. Zombies
2014,0,0,0.26,0,0.26,71,22,8,11,17,0,502,1042,7,Megamind: The Blue Defender
2004,0.1,0.04,0.11,0.01,0.26,71,22,7.5,24,6,0,361,1558,8,Gundam Breaker
2009,0.14,0.09,0,0.03,0.26,55,17,7.5,24,26,10,496,15,7,The House of the Dead 2
2009,0.24,0,0,0.02,0.26,77,29,8.6,26,26,6,361,954,1,Batman: Return to Arkham
2005,0,0,0.26,0,0.26,71,22,7.5,24,16,9,63,1558,8,A.C.E.: Another Century's Episode R
2003,0.18,0.07,0,0,0.26,59,6,7.5,24,6,0,277,805,1,Rune: Viking Warlord
1997,0,0,0.26,0,0.26,71,22,7.5,24,21,2,85,1558,8,The Incredible Hulk
2004,0.18,0.07,0,0,0.26,71,22,7.5,24,6,3,531,1558,8,Panzer Dragoon Orta
2005,0.19,0.06,0,0.01,0.26,88,65,9.1,58,29,1,139,1039,7,Jikkyou Powerful Pro Yakyuu '99 Ketteiban
2004,0.13,0.1,0,0.03,0.26,64,45,6.9,12,16,2,235,1251,7,Aikatsu! 2-nin no My Princess
1998,0.14,0.1,0,0.02,0.26,71,22,7.5,24,15,2,543,1558,8,King's Field II
2012,0.06,0.04,0.14,0.02,0.26,70,17,6.6,120,17,7,502,625,7,America's Test Kitchen: Let's Get Cooking
2008,0.24,0,0,0.02,0.26,71,22,7.5,24,4,1,183,983,1,NCAA Gamebreaker
2016,0.12,0.08,0.02,0.04,0.26,68,55,6.8,402,18,8,496,589,7,Battle of Giants: Mutant Insects
1996,0,0,0.26,0,0.26,71,22,7.5,24,21,10,447,1558,8,Petz: Horsez 2
2009,0.21,0.02,0,0.02,0.26,71,22,7.5,24,26,9,139,105,1,NPPL: Championship Paintball 2009
2009,0.24,0,0,0.02,0.26,64,7,7.5,24,26,9,349,864,2,Suikoden Tierkreis
2002,0.13,0.1,0,0.03,0.26,78,31,9,39,16,1,457,1395,5,Superman Returns
2011,0.19,0.04,0,0.02,0.26,71,22,7.5,24,4,8,21,1558,8,Shin Megami Tensei: Devil Survivor
2005,0.19,0.06,0,0.01,0.26,71,22,7.5,24,29,3,490,1558,8,Angry Birds Star Wars
2013,0.12,0.1,0.02,0.02,0.26,75,30,7.4,170,28,0,85,264,5,Tomba!
2010,0.17,0.06,0,0.02,0.26,53,10,6.6,10,28,10,21,1205,1,Love Plus
1998,0,0,0.24,0.02,0.26,71,22,7.5,24,15,6,494,1558,8,Tales of Eternia
2012,0,0,0.26,0,0.26,74,60,8.4,89,17,0,457,336,7,Tales of Innocence
2004,0.2,0.05,0,0.01,0.26,71,22,7.5,24,7,4,21,1558,8,Tearaway Unfolded
2013,0.16,0.07,0,0.02,0.26,54,55,6.2,195,28,8,139,1591,5,MLB SlugFest 2006
2013,0.11,0.08,0.02,0.04,0.26,80,75,8.5,236,17,4,459,1228,2,Etrian Odyssey II: Heroes of Lagaard
2002,0.18,0.07,0,0,0.26,71,22,7.5,24,6,4,139,1558,8,Virtua Racing
2007,0.2,0.03,0,0.03,0.26,78,17,6.5,41,17,0,527,1543,5,Rugrats: I Gotta Go Party
1999,0.07,0.05,0.13,0.02,0.26,71,22,7.5,24,15,9,166,1558,8,The Incredible Hulk
1999,0,0,0.26,0,0.26,71,22,7.5,24,23,11,361,1558,8,Deadly Premonition
2006,0.11,0.02,0.11,0.01,0.26,71,41,8.4,36,4,0,85,264,5,Family Feud: 2010 Edition
1987,0.24,0.01,0,0,0.26,71,22,7.5,24,0,8,53,1558,8,DS Bungaku Zenshuu
2008,0.08,0.15,0,0.03,0.26,47,39,7.1,87,28,8,53,1336,5,Bolt
2005,0.2,0.03,0,0.02,0.26,80,57,7.5,79,28,0,527,1531,7,Marvel Super Hero Squad: The Infinity Gauntlet
1997,0,0,0.26,0,0.26,71,22,7.5,24,21,7,227,1558,8,Inazuma Eleven GO 3: Galaxy
2005,0.21,0.03,0,0.02,0.26,58,20,7.6,19,4,4,527,356,1,Ford Racing 3
2007,0,0,0.26,0,0.26,71,22,7.5,24,16,9,63,1558,8,J Stars Victory Vs.
2002,0.18,0.07,0,0,0.26,49,7,7.5,24,6,6,287,1430,1,The Adventures of Tintin: The Game
2008,0.04,0.18,0,0.04,0.26,71,22,8.4,14,13,11,325,220,1,Call of Duty: Black Ops 3
2002,0.2,0.05,0,0.01,0.26,71,22,7.5,24,7,10,244,1558,8,Phantasy Star Universe: Ambition of the Illuminus
2002,0.19,0.06,0,0.01,0.26,79,15,8.1,7,29,10,17,42,1,Jikkyou Powerful Pro Yakyuu 2013
2004,0.13,0.1,0,0.03,0.26,77,30,8.1,9,16,6,21,829,1,Major League Baseball 2K10
2009,0,0.21,0,0.04,0.26,71,22,7.5,24,16,1,138,1558,8,The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron
1999,0.14,0.1,0,0.02,0.26,71,22,7.5,24,15,10,139,1558,8,Dragon Ball Z: Tenkaichi Tag Team
