Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2008,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,4,7,361,571,1,Pokémon Platinum Version
2005,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,19,0,496,1206,5,Grand Theft Auto: Liberty City Stories
2014,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,18,8,21,1312,5,Call of Duty: Advanced Warfare
1998,4.1,1.89,1.45,0.16,7.6,71,22,7.5,24,10,0,361,1558,8,The Legend of Zelda: Ocarina of Time
2016,0.66,5.75,0.08,1.11,7.59,85,41,5,398,18,10,139,445,1,FIFA 17
1997,3.78,2.17,1.31,0.31,7.58,71,22,7.5,24,15,4,457,1558,8,Crash Bandicoot 2: Cortex Strikes Back
2014,3.27,1.37,2.43,0.48,7.55,71,22,7.5,24,2,2,361,1558,8,Super Smash Bros. for Wii U and 3DS
2010,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,26,4,361,1009,1,Super Mario Galaxy 2
1988,5.39,1.18,0.7,0.19,7.46,71,22,7.5,24,11,4,361,1558,8,Super Mario Bros. 2
2015,4.59,2.11,0.01,0.68,7.39,71,22,7.5,24,30,8,21,1558,8,Call of Duty: Black Ops 3
2008,4.81,1.88,0,0.69,7.38,84,84,7.6,580,28,8,21,1499,5,Call of Duty: World at War
2011,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,28,8,139,430,5,Battlefield 3
2003,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,16,6,139,422,1,Need for Speed Underground
2009,3.48,2.99,0,0.73,7.2,49,21,8,110,26,3,527,1535,2,Just Dance
2011,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,17,8,139,430,5,Battlefield 3
2015,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,18,7,66,173,5,Fallout 4
1998,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,15,2,457,967,7,Tekken 3
2006,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,26,0,361,1008,7,The Legend of Zelda: Twilight Princess
2016,2.98,1.45,2.26,0.45,7.14,71,22,7.5,24,2,7,361,1558,8,Pokemon Sun/Moon
1998,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,15,4,457,977,1,Crash Bandicoot 3: Warped
2014,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,27,6,361,1008,1,Mario Kart 8
2001,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,7,2,361,628,7,Super Smash Bros. Melee
2003,4.12,1.77,0.87,0.19,6.95,71,22,7.5,24,7,6,361,1558,8,Mario Kart: Double Dash!!
2004,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,16,6,139,424,1,Need for Speed Underground 2
2002,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,16,8,139,434,7,Medal of Honor: Frontline
1996,3.23,2.35,0.94,0.3,6.82,71,22,7.5,24,15,4,457,1558,8,Crash Bandicoot
2012,4.05,2.16,0,0.55,6.76,74,10,7.3,28,26,3,527,1524,2,Just Dance 4
2008,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,28,8,325,485,5,Gears of War 2
2011,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,17,0,457,977,7,Uncharted 3: Drake's Deception
2010,3.45,2.59,0,0.66,6.71,71,22,7.5,24,26,10,6,1098,1,Zumba Fitness
2007,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,17,8,21,717,5,Call of Duty 4: Modern Warfare
2009,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,17,0,457,977,7,Uncharted 2: Among Thieves
2011,0.84,4.3,0.11,1.39,6.65,71,22,7.5,24,17,10,139,1558,8,FIFA 12
2005,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,4,3,361,1008,1,Big Brain Academy
1986,3.74,0.93,1.69,0.14,6.51,71,22,7.5,24,11,0,361,1558,8,The Legend of Zelda
2010,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,17,0,496,1209,5,Red Dead Redemption
2013,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,17,10,139,424,1,FIFA 14
2012,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,17,0,527,1524,5,Assassin's Creed III
2010,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,26,4,361,1198,1,Donkey Kong Country Returns
2001,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,29,8,325,253,5,Halo: Combat Evolved
2011,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,17,7,66,173,5,The Elder Scrolls V: Skyrim
2004,2.57,1.58,2.06,0.21,6.41,76,28,9,222,6,7,361,571,1,Pokémon Emerald Version
2002,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,16,7,457,1356,1,Kingdom Hearts
2000,2.55,1.56,1.29,0.99,6.39,71,22,7.5,24,5,7,361,1558,8,Pokémon Crystal Version
2009,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,28,8,325,254,5,Halo 3: ODST
2010,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,28,0,496,1209,5,Red Dead Redemption
2002,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,7,4,361,1008,1,Super Mario Sunshine
1992,2.47,0.83,2.87,0.12,6.3,71,22,7.5,24,23,2,85,1558,8,Street Fighter II: The World Warrior
2004,0.08,6.21,0,0,6.29,93,57,7.3,2182,13,7,21,214,7,World of Warcraft
1999,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,15,0,178,1190,7,Driver
2011,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,28,8,325,485,5,Gears of War 3
2010,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,28,10,325,1160,2,Kinect Sports
2006,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,28,8,325,485,5,Gears of War
2014,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,18,10,139,442,1,FIFA 15
2001,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,16,0,277,774,5,Metal Gear Solid 2: Sons of Liberty
1992,4.47,1.2,0.16,0.19,6.03,71,22,7.5,24,8,4,447,1558,8,Sonic the Hedgehog 2
1998,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,15,0,277,774,5,Metal Gear Solid
2008,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,17,0,277,801,5,Metal Gear Solid 4: Guns of the Patriots
2006,1.88,0,2.33,1.74,5.95,92,64,7.6,972,16,7,466,1351,7,Final Fantasy XII
